"Reynolds";"Amplitude";"Temps";"Premiere_cesure";"nb_cesures";"volume";"surface";"ratio_vs";"satellite";"long_onde";"poly4";"poly3";"poly2";"poly1";"poly0"
103;0,01;344;238;0;816,311084940774;1481,58248142904;1,81497288075726;0;5,875;-6,83114987102386e-10;3,46183727802077e-07;-5,75162825268299e-05;0,00489862834401139;1,0101358999819
103;0,01;344,5;238;0;815,416608609408;1480,65967086589;1,81583212217246;0;5,375;-1,3558153817024e-09;6,26527698247775e-07;-9,40906631786456e-05;0,0064697331136063;0,997131388261719
103;0,01;345;238;0;815,761873517426;1480,49061576714;1,81485634941912;0;6,75;-1,86561593271496e-10;1,39194403290842e-07;-3,05043643279899e-05;0,00373709501331206;1,019799632385
103;0,01;345,5;238;0;817,220544457754;1481,23691236581;1,81253019446378;0;6,74900000000002;-1,81315871827514e-10;1,3663278011697e-07;-3,00914177342063e-05;0,0037124049905872;1,02021563646341
103;0,01;346;238;0;818,928446763793;1482,74670566403;1,81059372344859;0;6,75099999999998;-1,76083763923549e-10;1,34051520768849e-07;-2,96679995481415e-05;0,00368604174682253;1,02070029366941
103;0,01;346,5;238;0;820,849075482671;1484,54934346064;1,80855334774874;0;6,81200000000001;-1,71970612703165e-10;1,32072951383764e-07;-2,93525409607718e-05;0,00366707867249952;1,02102754241639
103;0,01;347;238;0;822,616005281739;1486,30584234503;1,80680394351917;0;6,81200000000001;-1,6648585166174e-10;1,29332660447479e-07;-2,89016902207138e-05;0,00363957925962469;1,02149147055757
103;0,01;347,5;238;0;824,409261107532;1487,67685936157;1,80453681144119;0;6,75;-1,61013111596138e-10;1,26729246651795e-07;-2,84970296401104e-05;0,00361648308505148;1,02185177002327
103;0,01;348;238;0;825,660800719303;1488,349323238;1,8026159434254;0;6,75;-1,55402190261345e-10;1,239711121921e-07;-2,80475610639609e-05;0,00358897089837006;1,02234035869384
103;0,01;348,5;238;0;826,200898139931;1488,24142075735;1,8013069510187;0;6,75;-1,50916497559289e-10;1,21718988400416e-07;-2,76740736218259e-05;0,00356601287056069;1,02273034655116
103;0,01;349;238;0;825,425760339811;1487,43300906237;1,80201912822545;0;6,81200000000001;-1,4546508877478e-10;1,18924796834265e-07;-2,71935863901808e-05;0,00353427129304036;1,02336236385825
103;0,01;349,5;238;0;823,59995012362;1486,12139259165;1,80442142130847;0;6,81299999999999;-1,41873090049155e-10;1,16993897336507e-07;-2,68492551842233e-05;0,00351104606541724;1,02381355525341
103;0,01;350;238;0;820,769864895524;1484,51412276365;1,80868497523677;0;6,74900000000002;-1,39709165801314e-10;1,1570502134513e-07;-2,6597427100715e-05;0,00349215674249366;1,02424110160043
103;0,02;344;172,855;20;959,390156800125;1311,06422116552;1,36656000884805;1;6,875;-4,26830614558462e-09;1,93786525073819e-06;-0,000276177727221149;0,016109553726467;0,969418239110053
103;0,02;344,5;173,322;20;959,65251243193;1309,96008052863;1,36503584741205;1;6,875;-2,84369060216964e-09;1,34725518464126e-06;-0,000199803524565333;0,0128886048758886;0,99429509016644
103;0,02;345;173,793;19;961,907095125462;1311,80114225904;1,36375035479694;1;6,875;-2,87181630045318e-09;1,36011187308841e-06;-0,000201740973944473;0,0129957002349135;0,992704602808203
103;0,02;345,5;174,266;19;964,353812977947;1313,91039517686;1,36247752380372;1;6,875;-2,89987291705103e-09;1,37332020039259e-06;-0,000203799630387669;0,0131136258102985;0,99089784184231
103;0,02;346;174,74;19;966,781928819784;1316,0949822593;1,36131524910271;1;6,81200000000001;-2,92556912858322e-09;1,38539027935498e-06;-0,000205675167833958;0,0132211512631606;0,989203606290523
103;0,02;346,5;175,216;19;969,19353128059;1318,34981131653;1,36025444740082;1;6,81299999999999;-2,9537229591628e-09;1,39900224580088e-06;-0,000207877502655458;0,0133555408481235;0,986836606861232
103;0,02;347;175,692;19;971,750726247612;1320,43113972646;1,35881672538107;1;6,87400000000002;-2,97690783153958e-09;1,4102101924176e-06;-0,000209684311365918;0,0134648639963385;0,984914944733614
103;0,02;347,5;176,168;18;973,927557457229;1322,16466600474;1,35755955962136;1;6,875;-3,00277235163489e-09;1,42306147533183e-06;-0,000211829907644216;0,0136001777659645;0,982450675322888
103;0,02;348;176,645;18;976,257615115319;1324,28422239416;1,35649054295749;1;6,87400000000002;-3,0233525406018e-09;1,43324298937525e-06;-0,000213522653841791;0,0137067272917927;0,980494103361022
103;0,02;348,5;177,122;18;977,622500569524;1324,16489272895;1,35447464840216;1;6,875;-3,05016120271362e-09;1,44658972003281e-06;-0,000215746835681226;0,0138456646693363;0,978090406806143
103;0,02;349;173,5;19;976,321165319195;1322,29528144872;1,35436506799114;1;6,81200000000001;-3,07244404943809e-09;1,45784821804502e-06;-0,000217652517596252;0,0139672396246004;0,975869456905843
103;0,02;349,5;173,94;19;972,456312734984;1319,48886486286;1,35686184313192;1;6,87400000000002;-3,09233465748092e-09;1,46772597607652e-06;-0,000219297952172622;0,0140712641042824;0,973928530131088
103;0,02;350;174,385;19;966,978145749014;1316,32540541319;1,36127730621417;1;6,875;-3,12301665933083e-09;1,48274979701435e-06;-0,000221774484995582;0,0142266317405354;0,971044263225612
103;0,03;344;138,605;23;1015,21472145554;1246,90450668987;1,22821751924771;1;6,875;-3,15480625453783e-09;1,33597351065383e-06;-0,00018706170563744;0,0130621450296969;1,05131567745465
103;0,03;344,5;139,081;22;1014,09322205149;1245,45193340775;1,22814343526351;1;6,875;-3,03404588379113e-09;1,2848141189608e-06;-0,000180166257060721;0,0127435961659182;1,05466646793734
